,GEO.id,zip_code,GEO.display-label,total_population,percent_age_under_5,percent_age_5-9,percent_age_10-14,percent_age_15-19,percent_age_20-24,percent_age_25-34,percent_age_35-44,percent_age_45-54,percent_age_55-59,percent_age_60-64,percent_age_65-74,percent_age_75-84,percent_age85_and_over,percent_age_65_and_over,median_age
150,8600000US60409,60409,ZCTA5 60409,37202,5.2,6.6,10.1,8.5,6.2,11.9,14.9,13.7,5.2,4.8,7.1,3.7,2.1,12.8,35.8
151,8600000US60410,60410,ZCTA5 60410,12530,7.2,8.8,9.9,7.5,5,11.4,15.9,17,5.3,4.2,4.9,2,0.7,7.6,35.2
152,8600000US60411,60411,ZCTA5 60411,58818,7.7,7.7,8.8,9.1,7.2,12.3,12.4,14,6,4.5,5.2,3.7,1.5,10.4,32.5
153,8600000US60415,60415,ZCTA5 60415,14294,9.5,7.8,4.3,2.7,7.8,18.8,13.9,15.4,4,4.3,5.8,4.1,1.6,11.4,33.9
154,8600000US60416,60416,ZCTA5 60416,9152,7.3,7.8,9,7,7.4,12.6,15,13.4,4.2,6.8,5.1,2.8,1.7,9.6,34.3
155,8600000US60417,60417,ZCTA5 60417,15572,4.6,5.2,6.9,6.6,6.9,9.2,10.3,16.3,8.8,7.8,11.5,3.7,2.3,17.6,45.3
156,8600000US60419,60419,ZCTA5 60419,22978,5.2,6,9.8,8.2,9.2,13.3,10.9,15.1,7,4.9,6.1,3.2,0.9,10.3,33.8
157,8600000US60420,60420,ZCTA5 60420,6738,3.7,3.6,6.9,5.1,6,16.2,17.4,19.5,6.3,4.3,5.9,2.9,2.1,11,40.7
158,8600000US60421,60421,ZCTA5 60421,3960,7.7,9.3,4.7,4.4,5.3,12.1,13.2,13.7,9.6,5.8,9.2,4,0.9,14.1,40.1
159,8600000US60422,60422,ZCTA5 60422,9007,4,4.3,7.6,8.2,5.7,6.6,9.4,17.6,8.6,8.2,12.4,5.4,1.9,19.7,46.8
